tweet_text,claim
RT @PirateAtLaw: No no no. Corona beer is the cure not the disease https://t.co/fnba2fr2m2,1
"@FernandoSVZLA @AP So far ~50 people outside China have it with no deaths. If China was hiding information and it was more lethal, we would see that fairly quickly.

Viruses always mutate. The easiest is to evade the immune system. The hardest is to develop new abilities.",1
"@realDonaldTrump A lot of people are saying cocaine cures COVID-19. 
So.",1
"@realDonaldTrump I wanna see a post of yourself drinking this up and see if it helps cure the virus or any other ""tremendous"" bad bacteria. Test THIS put instead of the media  #COVID19 
#FOH w/the nonsense and disruptive LIES coming out of your mouth. Jesus, man! Get out already! https://t.co/joY4sU6wWa",0
Another case for more testing for #coronavirus! Blood tests show 14% of people are now immune to covid-19 in one town in Germany https://t.co/MVOq3nc4hn,1
@zerohedge so did Canada first invented this bioweapon?  and then stolen or sold it to china?,1
"If you wore these in phys Ed, you’re immune to the corona virus. These were washed maybe once a year. https://t.co/cuk2h2TnG2",1
Guys who go to the gym in jeans and flannel shirts are immune to the coronavirus,1
@StormIsUponUs Summery of investigation...  the Chinese stole a strain of the Corona virus from a Canadian lab &amp; weaponized it in Wohan China as a bioweapon? 🧐 Must Read the article and attached links &amp; decide for yourself.,1
We know It Came From #ChinaGOV or #USGOV #BioWarLab #BioWar. Q: Which Country Created #Covid_19 #Coronavirus #Covid19 Virus? A: Which Or @WHO Will Benefit from This #WorldGenocide + Economic Downfall of Developing Countries. #NWO #WorldBank #5G #Vaccines #GlobalControl #Slavery. https://t.co/9IOy8cnlDs,1
RT @kenchristensenn: if you’ve been in the McDonald’s play place you’re immune to the corona virus,1
"Coronavirus seems to be said as tending to cling to blood vessels' walls, so I think it's better to take a little olive oil with water when hydrating to prevent it. At that time, adding a little vinegar may be even better because virus seems to be said as being weakened by acid.",0
"Will someone in the @WhiteHouse please tell @realDonaldTrump that shining a light up one's rectum and injecting bleach does not cure #Covid19 . Will you do that, @PressSec Kayleigh McEnany ? Thank you.",1
